location,sex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belize,Male,71.06590333685217,70.7929208631771,71.25229104353531,70.94156024196212,70.3353880247202,70.05929988466708,69.63924850437303,69.21429353355772,68.5887296329789,68.00183927272805,67.41069238355979,67.81910779808497,68.44881388334518,68.71884542851852,69.17388774512338,69.67493166545788,70.1934475357055,70.60113960998252,70.94815278783305,71.13006157346875,71.29009796559376,71.44706370952002,71.58697532085402,71.58968380728777,71.37845933302616,71.24673825018661,71.21514554426692,71.38797320047034,71.57423052055036,71.73076482896235,70.2944386383075,68.75331863531302,71.1429083008835,72.5944419001514
Benin,Female,57.66713166105287,57.89441201626683,58.43723893730853,58.773498731997854,59.03415279846353,59.40234919142293,59.57732099318418,60.04847719671142,60.347514757384744,60.82565290467114,61.102879878703035,61.82908895404394,62.51793851128046,63.20708239347372,63.97611738556993,64.4623216240175,64.71481301444857,65.18705699520802,65.57444812970168,65.81257928846644,65.87420759787081,65.82978544888395,65.86893283558034,65.90744605996636,66.05189804478816,66.22373041831285,66.78822214575104,67.20655901974426,67.72663779544749,67.98717208587607,68.26791044776674,68.54798811697368,68.92443053799055,69.18201694052472
Benin,Male,51.27103021032086,51.630173270080995,52.28739068041697,52.73982842903074,53.11817529133313,53.583028971057935,53.83601555681173,54.27756222876042,54.51912056607747,54.957873442058926,55.19092336295523,55.78015662829375,56.339154673656395,56.82132583513446,57.52958078266718,57.96187832365811,58.17668227780649,58.63166491611421,58.95165918878662,59.21125768008235,59.39200830937122,59.47570005517523,59.666794198495666,59.80445173413986,60.08042722494317,60.34470051176421,60.8461898644088,61.246376659926305,61.68207696267179,61.98086177278134,62.19212268828361,62.48435561193848,63.119825211188896,63.43695490513956
Bermuda,Female,78.09034549077907,78.20140788321832,78.35685289108304,78.62141737436353,78.66406324527824,78.74835643860689,78.92813318262762,79.29769910675614,79.55399562788237,79.76890636242983,79.9594576125949,80.38045024177931,80.80716812435908,81.01538912843012,81.41342967995566,81.6817264953,82.05244403277915,82.37232861062911,82.88143452245455,83.19142478935811,83.34955711097707,83.410709722213,83.67183453964594,83.85241315753525,84.04724545792998,84.32031532714079,84.47620326250598,84.61910464474775,84.63297703591539,84.58390339587443,83.9108988465942,82.72365827931962,82.7092884238293,83.39099764161709
Bermuda,Male,70.42576467510644,70.71856698100163,71.00788268994708,71.36130391975563,71.54724211920303,71.75173446512528,72.08020194587272,72.63667882841263,73.02638555718978,73.32642973112554,73.07425069320142,74.28121578630817,74.80765679203371,75.02012048377043,75.36344679022369,75.63551391950013,75.91310914952899,76.3105533638768,76.71572144983057,77.17837239598616,77.53984974466604,77.59397838045903,77.77338394699332,77.93481029867371,78.0914648334033,78.02426238989652,78.03146908902595,78.15455974090592,78.15748853160206,78.13023513308248,77.46117411353222,76.76278695669897,77.36145742308962,77.97483515220138
Bhutan,Female,58.71228407828816,59.08819234864948,59.581373387422794,59.93751317199505,60.340771103711106,60.87758311651912,61.41387045192645,61.72544632048611,62.53074049318222,63.255943819670605,62.970889821886274,64.23927831530523,64.79142867621684,65.21363325925579,65.70974270920813,66.28420635011894,66.9245507161286,67.5756363187715,68.25132460836343,68.86282973111854,69.48844048050849,69.87698122055657,70.17579704061029,70.55331450580135,70.83350285045557,71.13623206802752,71.38364869451541,71.64691756973284,71.90413807990106,72.17702881481955,72.18590502543248,72.34735692535193,72.25280571985796,72.41102578922154
Bhutan,Male,60.03960688216628,60.353787716258616,60.83925125197517,61.21520399397704,61.629787984921414,62.11713221665185,62.60353844534863,62.901938007819446,63.5351480933519,64.02111988496074,63.92363408671279,64.82179090003078,65.26199272517454,65.61814882793165,66.04417323598695,66.52662960776723,67.05444687385248,67.65942456967738,68.22158979570129,68.7829521450608,69.36199421919525,69.77099154484269,70.14134031379741,70.51371642367975,70.83068382233039,71.16511969810365,71.46690579887698,71.7717434932621,72.06777263650739,72.37474660706651,72.40473100832119,72.69277511760542,72.65995938554019,72.87329903864904
Bolivia (Plurinational State of),Female,65.62476494141812,65.80752162573233,66.08674902777216,66.56436173220317,67.08191186330788,67.4725411951421,67.82668523146788,68.26784387980916,68.66040816477442,69.04416375006107,69.36074187869309,69.64963410518055,69.8922930157931,70.1143924899898,70.33519872559707,70.55718552185546,70.78123490748649,71.05238970735947,71.3420869854325,71.66980938025415,71.90931844510331,72.08215937838203,72.31323627430803,72.53223525242304,72.82643076118558,73.08008897367874,73.286124276928,73.55243641670363,73.7374159232006,73.93278339100249,68.38735943833557,68.8782543285742,73.37355326071587,74.53589771891343
Bolivia (Plurinational State of),Male,60.50997732300755,60.71293723239351,61.0646282009725,61.56352179799304,62.126501460219394,62.547197491219535,62.92292325012682,63.38244384800528,63.754680881881654,64.08622337553177,64.38223786613025,64.70332192531718,64.92947945944461,65.1611322207485,65.41359808282571,65.68867936989975,65.90504363736392,66.22217234607326,66.4691513427364,66.80910260109559,67.05717364309344,67.2525415821495,67.51983819318413,67.75045010867488,68.04292920075548,68.31781130393288,68.56425265377207,68.82304240543868,69.02731789324797,69.23715793149819,60.71979870857544,61.56279288985421,68.00445748182672,69.33483517316843
Bosnia and Herzegovina,Female,75.3128847321995,75.57236273292109,69.90853131883193,72.81930725486781,74.59342047274713,71.47656612223784,76.78731496119353,76.93245657532466,77.13828708171864,77.22125585182683,77.25708354269065,77.30269164070978,77.4825978592601,77.62118560716252,77.69475528743037,77.7597169857253,77.93431477539485,78.04288786589368,78.28541328570806,78.4041680507402,78.58225048217368,78.7489401738985,78.98114596500162,79.1492312063939,79.19249476815303,79.16306269036332,79.37644167511222,79.41076168376001,79.53778953322056,79.57135961302961,78.62438566861498,77.18589510764477,79.13182219598124,80.07194464259817
Bosnia and Herzegovina,Male,69.48656999718796,69.7572232457599,50.858640084993525,58.38883678615365,63.56888361427285,54.075099440483406,71.11428129860327,71.43936640718871,71.83712131282856,72.10586302752202,72.2364155584102,72.42755795322492,72.57675461929368,72.69501386032516,72.7929530167021,72.75698826569118,72.93445782082014,72.99757144947583,73.28523437064864,73.52250757567194,73.71788514226336,73.88191886934021,74.04651272032226,74.20899552026833,74.31726539102252,74.355889359764,74.53314169141926,74.61280658347293,74.655291665833,74.58177396245895,73.07947316331355,72.01300406449779,74.00634083464178,75.32302932096684
